#    row  column                  Re(val)                  Im(val)
      81      76   2.0999999999999997E+02   0.0000000000000000E+00
      81      81  -6.4749999999999989E+02   0.0000000000000000E+00
      81      86   1.9798989873223331E+02   0.0000000000000000E+00
      81     110   1.7146428199482247E+02   0.0000000000000000E+00
      82      53   1.9798989873223331E+02   0.0000000000000000E+00
      82      77   2.4248711305964281E+02   0.0000000000000000E+00
      82      82  -3.8000000000000011E+02   0.0000000000000000E+00
      82      87   2.4248711305964281E+02   0.0000000000000000E+00
      82     111   2.0999999999999997E+02   0.0000000000000000E+00
      83      54   2.2135943621178657E+02   0.0000000000000000E+00
      83      78   2.7110883423451918E+02   0.0000000000000000E+00
      83      83  -1.1250000000000000E+02   0.0000000000000000E+00
      83      88   2.8000000000000000E+02   0.0000000000000000E+00
      83     112   2.4248711305964281E+02   0.0000000000000000E+00
      84      84   1.5500000000000023E+02   0.0000000000000000E+00
      84      89   3.1304951684997059E+02   0.0000000000000000E+00
      84     113   2.7110883423451918E+02   0.0000000000000000E+00
      85      56   9.8994949366116657E+01   0.0000000000000000E+00
      85      80   1.4000000000000000E+02   0.0000000000000000E+00
      85      85  -2.1450000000000000E+03   0.0000000000000000E+00
      86      57   1.4000000000000003E+02   0.0000000000000000E+00
      86      81   1.9798989873223331E+02   0.0000000000000000E+00
      86      86  -1.8775000000000000E+03   0.0000000000000000E+00
      86     115   1.2124355652982140E+02   0.0000000000000000E+00
      87      58   1.7146428199482247E+02   0.0000000000000000E+00
      87      82   2.4248711305964281E+02   0.0000000000000000E+00
      87      87  -1.6100000000000000E+03   0.0000000000000000E+00
      87     116   1.7146428199482247E+02   0.0000000000000000E+00
      88      59   1.9798989873223331E+02   0.0000000000000000E+00
      88      83   2.8000000000000000E+02   0.0000000000000000E+00
      88      88  -1.3425000000000000E+03   0.0000000000000000E+00
      88     117   2.0999999999999997E+02   0.0000000000000000E+00
      89      60   2.2135943621178657E+02   0.0000000000000000E+00
      89      84   3.1304951684997059E+02   0.0000000000000000E+00
      89      89  -1.0750000000000000E+03   0.0000000000000000E+00
      89     118   2.4248711305964281E+02   0.0000000000000000E+00
      90      90  -8.0749999999999977E+02   0.0000000000000000E+00
      90     119   2.7110883423451918E+02   0.0000000000000000E+00
      91      62   1.2124355652982140E+02   0.0000000000000000E+00
      91      91  -6.6750000000000011E+02   0.0000000000000000E+00
      92      63   1.7146428199482247E+02   0.0000000000000000E+00
