# OCT iter       1519;   J_T =   5.984794090181E-03;   pulse_id =          1
# converged
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  2.08854427213606808E+00  6.34116871599862577E+01  6.47925407300675147E+01
  2.11355677838919442E+00  6.41080444483006886E+01  6.63603196913485505E+01
  2.13856928464232121E+00  6.47899245523944103E+01  6.79860065390494697E+01
  2.16358179089544755E+00  6.54546569326144549E+01  6.96639395754522184E+01
  2.18859429714857434E+00  6.60997698799526887E+01  7.13885039073471717E+01
  2.21360680340170068E+00  6.67229930040013102E+01  7.31541482190117165E+01
  2.23861930965482747E+00  6.73222588255100618E+01  7.49554008166427224E+01
  2.26363181590795381E+00  6.78957034372178754E+01  7.67868848624968336E+01
  2.28864432216108060E+00  6.84416662240288076E+01  7.86433327611725872E+01
  2.31365682841420695E+00  6.89586886467387501E+01  8.05195996847077993E+01
  2.33866933466733373E+00  6.94455121015173660E+01  8.24106762364147301E+01
  2.36368184092046008E+00  6.99010748737603365E+01  8.43117002605271324E+01
  2.38869434717358686E+00  7.03245082109069131E+01  8.62179678082996048E+01
  2.41370685342671321E+00  7.07151315447077025E+01  8.81249432725553277E+01
  2.43871935967983955E+00  7.10724468992895595E+01  9.00282687024265584E+01
  2.46373186593296634E+00  7.13961325271780254E+01  9.19237723086369272E+01
  2.48874437218609268E+00  7.16860358211919788E+01  9.38074761673670565E+01
  2.51375687843921947E+00  7.19421655557692077E+01  9.56756031278006276E+01
  2.53876938469234581E+00  7.21646835168317295E+01  9.75245829250456069E+01
  2.56378189094547260E+00  7.23538955846793925E+01  9.93510574965599318E+01
  2.58879439719859894E+00  7.25102423395676112E+01  1.01151885496699165E+02
  2.61380690345172573E+00  7.26342892644976104E+01  1.02924146000812939E+02
  2.63881940970485207E+00  7.27267166241811793E+01  1.04665141387698355E+02
  2.66383191595797886E+00  7.27883091030315796E+01  1.06372399387381748E+02
  2.68884442221110520E+00  7.28199452881517146E+01  1.08043674280404176E+02
  2.71385692846423199E+00  7.28225870855114152E+01  1.09676947235125041E+02
  2.73886943471735833E+00  7.27972691585787288E+01  1.11270425771216509E+02
  2.76388194097048512E+00  7.27450884784273057E+01  1.12822542340514431E+02
  2.78889444722361146E+00  7.26671940726376704E+01  1.14331952020754272E+02
  2.81390695347673825E+00  7.25647770569358386E+01  1.15797529323325193E+02
  2.83891945972986459E+00  7.24390610284839624E+01  1.17218364122960722E+02
  2.86393196598299138E+00  7.22912928929272738E+01  1.18593756724965033E+02
  2.88894447223611772E+00  7.21227341888461950E+01  1.19923212093968218E+02
  2.91395697848924451E+00  7.19346529632305760E+01  1.21206433276941183E+02
  2.93896948474237085E+00  7.17283162402346193E+01  1.22443314061996674E+02
  2.96398199099549764E+00  7.15049831130487945E+01  1.23633930922967124E+02
  2.98899449724862398E+00  7.12658984756301237E+01  1.24778534307593333E+02
  3.01400700350175077E+00  7.10122873976490894E+01  1.25877539333949386E+02
  3.03901950975487711E+00  7.07453501328263314E+01  1.26931515965336104E+02
  3.06403201600800390E+00  7.04662577383116258E+01  1.27941178737912082E+02
  3.08904452226113024E+00  7.01761482713540801E+01  1.28907376117765750E+02
  3.11405702851425703E+00  6.98761235197045067E+01  1.29831079564806856E+02
  3.13906953476738337E+00  6.95672462142874508E+01  1.30713372379816946E+02
  3.16408204102051016E+00  6.92505376670825541E+01  1.31555438408344287E+02
  3.18909454727363650E+00  6.89269757739580058E+01  1.32358550671012722E+02
  3.21410705352676329E+00  6.85974933215767066E+01  1.33124059984482841E+02
  3.23911955977988963E+00  6.82629765393766377E+01  1.33853383631159716E+02
  3.26413206603301642E+00  6.79242638418806024E+01  1.34547994128942150E+02
  3.28914457228614276E+00  6.75821447129304289E+01  1.35209408145487714E+02
  3.31415707853926955E+00  6.72373586915407060E+01  1.35839175594745257E+02
  3.33916958479239590E+00  6.68905944284132943E+01  1.36438868947428602E+02
  3.36418209104552268E+00  6.65424887923124828E+01  1.37010072781906615E+02
  3.38919459729864903E+00  6.61936260158547043E+01  1.37554373597883114E+02
  3.41420710355177581E+00  6.58445368803039059E+01  1.38073349912528670E+02
  3.43921960980490216E+00  6.54956979481504931E+01  1.38568562657380483E+02
  3.46423211605802894E+00  6.51475308601302601E+01  1.39041545894445306E+02
  3.48924462231115529E+00  6.48004017194606803E+01  1.39493797871384658E+02
  3.51425712856428207E+00  6.44546205902194487E+01  1.39926772438295103E+02
  3.53926963481740842E+00  6.41104411387116926E+01  1.40341870852173287E+02
  3.56428214107053520E+00  6.37680604463415364E+01  1.40740433999330236E+02
  3.58929464732366155E+00  6.34276190199747774E+01  1.41123735070532348E+02
  3.61430715357678833E+00  6.30892010212326397E+01  1.41492972728003110E+02
  3.63931965982991468E+00  6.27528347299032632E+01  1.41849264807361351E+02
  3.66433216608304146E+00  6.24184932490339079E+01  1.42193642600644182E+02
  3.68934467233616781E+00  6.20860954508117970E+01  1.42527045768488335E+02
  3.71435717858929459E+00  6.17555071534492015E+01  1.42850317930039523E+02
  3.73936968484242094E+00  6.14265425105876375E+01  1.43164202978015823E+02
  3.76438219109554773E+00  6.10989655866537333E+01  1.43469342163438824E+02
  3.78939469734867407E+00  6.07724920846679026E+01  1.43766271989838884E+02
  3.81440720360180086E+00  6.04467911876216917E+01  1.44055422950260095E+02
  3.83941970985492720E+00  6.01214874710206928E+01  1.44337119132298255E+02
  3.86443221610805399E+00  5.97961628428322101E+01  1.44611578706860257E+02
  3.88944472236118033E+00  5.94703584679266726E+01  1.44878915305684529E+02
  3.91445722861430712E+00  5.91435766372451326E+01  1.45139140281127510E+02
  3.93946973486743346E+00  5.88152825472084757E+01  1.45392165829809784E+02
  3.96448224112056025E+00  5.84849059621120801E+01  1.45637808949643926E+02
  3.98949474737368659E+00  5.81518427410891690E+01  1.45875796188097695E+02
  4.01450725362681293E+00  5.78154562212802858E+01  1.46105769128477220E+02
  4.03951975987993972E+00  5.74750784596552577E+01  1.46327290551032689E+02
  4.06453226613306651E+00  5.71300113469561666E+01  1.46539851196967675E+02
  4.08954477238619241E+00  5.67795276179467052E+01  1.46742877056275773E+02
  4.11455727863931919E+00  5.64228717920801941E+01  1.46935737094837265E+02
  4.13956978489244598E+00  5.60592610872604169E+01  1.47117751332531896E+02
  4.16458229114557277E+00  5.56878863562196358E+01  1.47288199182193267E+02
  4.18959479739869867E+00  5.53079130997765134E+01  1.47446327959064945E+02
  4.21460730365182545E+00  5.49184826136029969E+01  1.47591361471833807E+02
  4.23961980990495224E+00  5.45187133249894487E+01  1.47722508609144427E+02
  4.26463231615807903E+00  5.41077023734054023E+01  1.47838971839532036E+02
  4.28964482241120493E+00  5.36845274834914861E+01  1.47939955547661498E+02
  4.31465732866433171E+00  5.32482491716616124E+01  1.48024674135374539E+02
  4.33966983491745850E+00  5.27979133180809583E+01  1.48092359822067124E+02
  4.36468234117058529E+00  5.23325541247456698E+01  1.48142270085054690E+02
  4.38969484742371119E+00  5.18511974682164407E+01  1.48173694686675816E+02
  4.41470735367683798E+00  5.13528646427367264E+01  1.48185962240661524E+02
  4.43971985992996476E+00  5.08365764765235326E+01  1.48178446275766618E+02
  4.46473236618309155E+00  5.03013577914624150E+01  1.48150570759573810E+02
  4.48974487243621745E+00  4.97462421647936281E+01  1.48101815049913711E+02
  4.51475737868934424E+00  4.91702769410631788E+01  1.48031718245360480E+02
