# Formula "1freq_rwa" with E0 = 100.0, T = 50, w_L = 5.9325, w_d = 5.9325
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  5.09004502251125590E+00  4.18361618544598901E+00  0.00000000000000000E+00
  5.11505752876438269E+00  4.22940844299711127E+00  0.00000000000000000E+00
  5.14007003501750948E+00  4.27550713471877142E+00  0.00000000000000000E+00
  5.16508254127063537E+00  4.32191323679185491E+00  0.00000000000000000E+00
  5.19009504752376216E+00  4.36862772494022877E+00  0.00000000000000000E+00
  5.21510755377688895E+00  4.41565157436441247E+00  0.00000000000000000E+00
  5.24012006003001574E+00  4.46298575967518829E+00  0.00000000000000000E+00
  5.26513256628314252E+00  4.51063125482707061E+00  0.00000000000000000E+00
  5.29014507253626842E+00  4.55858903305173513E+00  0.00000000000000000E+00
  5.31515757878939521E+00  4.60686006679135218E+00  0.00000000000000000E+00
  5.34017008504252200E+00  4.65544532763180641E+00  0.00000000000000000E+00
  5.36518259129564790E+00  4.70434578623585153E+00  0.00000000000000000E+00
  5.39019509754877468E+00  4.75356241227622256E+00  0.00000000000000000E+00
  5.41520760380190147E+00  4.80309617436863689E+00  0.00000000000000000E+00
  5.44022011005502826E+00  4.85294804000469338E+00  0.00000000000000000E+00
  5.46523261630815504E+00  4.90311897548481479E+00  0.00000000000000000E+00
  5.49024512256128094E+00  4.95360994585097814E+00  0.00000000000000000E+00
  5.51525762881440773E+00  5.00442191481951415E+00  0.00000000000000000E+00
  5.54027013506753452E+00  5.05555584471374431E+00  0.00000000000000000E+00
  5.56528264132066042E+00  5.10701269639664179E+00  0.00000000000000000E+00
  5.59029514757378720E+00  5.15879342920339301E+00  0.00000000000000000E+00
  5.61530765382691399E+00  5.21089900087391023E+00  0.00000000000000000E+00
  5.64032016008004078E+00  5.26333036748531224E+00  0.00000000000000000E+00
  5.66533266633316757E+00  5.31608848338436157E+00  0.00000000000000000E+00
  5.69034517258629347E+00  5.36917430111984118E+00  0.00000000000000000E+00
  5.71535767883942025E+00  5.42258877137490192E+00  0.00000000000000000E+00
  5.74037018509254704E+00  5.47633284289939937E+00  0.00000000000000000E+00
  5.76538269134567294E+00  5.53040746244212755E+00  0.00000000000000000E+00
  5.79039519759879973E+00  5.58481357468313355E+00  0.00000000000000000E+00
  5.81540770385192651E+00  5.63955212216588375E+00  0.00000000000000000E+00
  5.84042021010505330E+00  5.69462404522948873E+00  0.00000000000000000E+00
  5.86543271635818009E+00  5.75003028194089438E+00  0.00000000000000000E+00
  5.89044522261130599E+00  5.80577176802700468E+00  0.00000000000000000E+00
  5.91545772886443277E+00  5.86184943680687542E+00  0.00000000000000000E+00
  5.94047023511755956E+00  5.91826421912381928E+00  0.00000000000000000E+00
  5.96548274137068546E+00  5.97501704327752314E+00  0.00000000000000000E+00
  5.99049524762381225E+00  6.03210883495620198E+00  0.00000000000000000E+00
  6.01550775387693903E+00  6.08954051716868783E+00  0.00000000000000000E+00
  6.04052026013006582E+00  6.14731301017653919E+00  0.00000000000000000E+00
  6.06553276638319261E+00  6.20542723142619224E+00  0.00000000000000000E+00
  6.09054527263631851E+00  6.26388409548105773E+00  0.00000000000000000E+00
  6.11555777888944530E+00  6.32268451395367315E+00  0.00000000000000000E+00
  6.14057028514257208E+00  6.38182939543784400E+00  0.00000000000000000E+00
  6.16558279139569798E+00  6.44131964544078883E+00  0.00000000000000000E+00
  6.19059529764882477E+00  6.50115616631534721E+00  0.00000000000000000E+00
  6.21560780390195156E+00  6.56133985719215573E+00  0.00000000000000000E+00
  6.24062031015507834E+00  6.62187161391188805E+00  0.00000000000000000E+00
  6.26563281640820513E+00  6.68275232895750548E+00  0.00000000000000000E+00
  6.29064532266133103E+00  6.74398289138651830E+00  0.00000000000000000E+00
  6.31565782891445782E+00  6.80556418676333674E+00  0.00000000000000000E+00
  6.34067033516758460E+00  6.86749709709157141E+00  0.00000000000000000E+00
  6.36568284142071050E+00  6.92978250074647129E+00  0.00000000000000000E+00
  6.39069534767383729E+00  6.99242127240733868E+00  0.00000000000000000E+00
  6.41570785392696408E+00  7.05541428298997175E+00  0.00000000000000000E+00
  6.44072036018009086E+00  7.11876239957925261E+00  0.00000000000000000E+00
  6.46573286643321765E+00  7.18246648536166354E+00  0.00000000000000000E+00
  6.49074537268634355E+00  7.24652739955794178E+00  0.00000000000000000E+00
  6.51575787893947034E+00  7.31094599735577599E+00  0.00000000000000000E+00
  6.54077038519259713E+00  7.37572312984253031E+00  0.00000000000000000E+00
  6.56578289144572302E+00  7.44085964393805366E+00  0.00000000000000000E+00
  6.59079539769884981E+00  7.50635638232757696E+00  0.00000000000000000E+00
  6.61580790395197660E+00  7.57221418339464059E+00  0.00000000000000000E+00
  6.64082041020510339E+00  7.63843388115409816E+00  0.00000000000000000E+00
  6.66583291645823017E+00  7.70501630518523051E+00  0.00000000000000000E+00
  6.69084542271135607E+00  7.77196228056488980E+00  0.00000000000000000E+00
  6.71585792896448286E+00  7.83927262780078316E+00  0.00000000000000000E+00
  6.74087043521760965E+00  7.90694816276476153E+00  0.00000000000000000E+00
  6.76588294147073555E+00  7.97498969662626944E+00  0.00000000000000000E+00
  6.79089544772386233E+00  8.04339803578584167E+00  0.00000000000000000E+00
  6.81590795397698912E+00  8.11217398180870930E+00  0.00000000000000000E+00
  6.84092046023011591E+00  8.18131833135849540E+00  0.00000000000000000E+00
  6.86593296648324269E+00  8.25083187613101465E+00  0.00000000000000000E+00
  6.89094547273636859E+00  8.32071540278814581E+00  0.00000000000000000E+00
  6.91595797898949538E+00  8.39096969289189154E+00  0.00000000000000000E+00
  6.94097048524262217E+00  8.46159552283842231E+00  0.00000000000000000E+00
  6.96598299149574807E+00  8.53259366379232986E+00  0.00000000000000000E+00
  6.99099549774887485E+00  8.60396488162095885E+00  0.00000000000000000E+00
  7.01600800400200164E+00  8.67570993682885394E+00  0.00000000000000000E+00
  7.04102051025512843E+00  8.74782958449233305E+00  0.00000000000000000E+00
  7.06603301650825522E+00  8.82032457419415827E+00  0.00000000000000000E+00
  7.09104552276138111E+00  8.89319564995836842E+00  0.00000000000000000E+00
  7.11605802901450790E+00  8.96644355018524308E+00  0.00000000000000000E+00
  7.14107053526763469E+00  9.04006900758632703E+00  0.00000000000000000E+00
  7.16608304152076059E+00  9.11407274911968024E+00  0.00000000000000000E+00
  7.19109554777388738E+00  9.18845549592522204E+00  0.00000000000000000E+00
  7.21610805402701416E+00  9.26321796326017477E+00  0.00000000000000000E+00
  7.24112056028014095E+00  9.33836086043476854E+00  0.00000000000000000E+00
  7.26613306653326774E+00  9.41388489074793000E+00  0.00000000000000000E+00
  7.29114557278639364E+00  9.48979075142325357E+00  0.00000000000000000E+00
  7.31615807903952042E+00  9.56607913354508099E+00  0.00000000000000000E+00
  7.34117058529264721E+00  9.64275072199469641E+00  0.00000000000000000E+00
  7.36618309154577311E+00  9.71980619538673274E+00  0.00000000000000000E+00
  7.39119559779889990E+00  9.79724622600570783E+00  0.00000000000000000E+00
  7.41620810405202668E+00  9.87507147974273636E+00  0.00000000000000000E+00
  7.44122061030515347E+00  9.95328261603240705E+00  0.00000000000000000E+00
  7.46623311655828026E+00  1.00318802877898108E+01  0.00000000000000000E+00
  7.49124562281140616E+00  1.01108651413477659E+01  0.00000000000000000E+00
  7.51625812906453294E+00  1.01902378163941929E+01  0.00000000000000000E+00
  7.54127063531765973E+00  1.02699989459097054E+01  0.00000000000000000E+00
  7.56628314157078563E+00  1.03501491561053136E+01  0.00000000000000000E+00
  7.59129564782391242E+00  1.04306890663603848E+01  0.00000000000000000E+00
  7.61630815407703921E+00  1.05116192891607465E+01  0.00000000000000000E+00
  7.64132066033016599E+00  1.05929404300369754E+01  0.00000000000000000E+00
  7.66633316658329278E+00  1.06746530875029091E+01  0.00000000000000000E+00
  7.69134567283641868E+00  1.07567578529943138E+01  0.00000000000000000E+00
  7.71635817908954547E+00  1.08392553108077898E+01  0.00000000000000000E+00
  7.74137068534267225E+00  1.09221460380398252E+01  0.00000000000000000E+00
  7.76638319159579815E+00  1.10054306045260919E+01  0.00000000000000000E+00
  7.79139569784892494E+00  1.10891095727809610E+01  0.00000000000000000E+00
