# Formula "1freq_rwa" with E0 = 120.0, T = 50, w_L = 5.9325, w_d = 5.9325
#               time [ns]           Re(ampl) [MHz]           Im(ampl) [MHz]
  2.46373186593296678E+00  1.07037397508424892E+00  0.00000000000000000E+00
  2.48874437218609312E+00  1.09293574741451582E+00  0.00000000000000000E+00
  2.51375687843921991E+00  1.11575398748883936E+00  0.00000000000000000E+00
  2.53876938469234670E+00  1.13882952166181672E+00  0.00000000000000000E+00
  2.56378189094547304E+00  1.16216318281971720E+00  0.00000000000000000E+00
  2.58879439719859938E+00  1.18575581033035604E+00  0.00000000000000000E+00
  2.61380690345172617E+00  1.20960824999249650E+00  0.00000000000000000E+00
  2.63881940970485296E+00  1.23372135398488569E+00  0.00000000000000000E+00
  2.66383191595797930E+00  1.25809598081481400E+00  0.00000000000000000E+00
  2.68884442221110564E+00  1.28273299526632667E+00  0.00000000000000000E+00
  2.71385692846423243E+00  1.30763326834795635E+00  0.00000000000000000E+00
  2.73886943471735922E+00  1.33279767724011067E+00  0.00000000000000000E+00
  2.76388194097048556E+00  1.35822710524200674E+00  0.00000000000000000E+00
  2.78889444722361191E+00  1.38392244171820811E+00  0.00000000000000000E+00
  2.81390695347673869E+00  1.40988458204476719E+00  0.00000000000000000E+00
  2.83891945972986548E+00  1.43611442755497642E+00  0.00000000000000000E+00
  2.86393196598299182E+00  1.46261288548468449E+00  0.00000000000000000E+00
  2.88894447223611817E+00  1.48938086891726962E+00  0.00000000000000000E+00
  2.91395697848924495E+00  1.51641929672816844E+00  0.00000000000000000E+00
  2.93896948474237174E+00  1.54372909352905463E+00  0.00000000000000000E+00
  2.96398199099549808E+00  1.57131118961158367E+00  0.00000000000000000E+00
  2.98899449724862443E+00  1.59916652089080502E+00  0.00000000000000000E+00
  3.01400700350175121E+00  1.62729602884812952E+00  0.00000000000000000E+00
  3.03901950975487800E+00  1.65570066047399278E+00  0.00000000000000000E+00
  3.06403201600800434E+00  1.68438136821005457E+00  0.00000000000000000E+00
  3.08904452226113069E+00  1.71333910989106131E+00  0.00000000000000000E+00
  3.11405702851425747E+00  1.74257484868637014E+00  0.00000000000000000E+00
  3.13906953476738426E+00  1.77208955304102744E+00  0.00000000000000000E+00
  3.16408204102051061E+00  1.80188419661654309E+00  0.00000000000000000E+00
  3.18909454727363695E+00  1.83195975823125412E+00  0.00000000000000000E+00
  3.21410705352676374E+00  1.86231722180034587E+00  0.00000000000000000E+00
  3.23911955977989052E+00  1.89295757627551309E+00  0.00000000000000000E+00
  3.26413206603301687E+00  1.92388181558424920E+00  0.00000000000000000E+00
  3.28914457228614321E+00  1.95509093856878735E+00  0.00000000000000000E+00
  3.31415707853927000E+00  1.98658594892469842E+00  0.00000000000000000E+00
  3.33916958479239678E+00  2.01836785513909955E+00  0.00000000000000000E+00
  3.36418209104552313E+00  2.05043767042857716E+00  0.00000000000000000E+00
  3.38919459729864947E+00  2.08279641267669824E+00  0.00000000000000000E+00
  3.41420710355177626E+00  2.11544510437124345E+00  0.00000000000000000E+00
  3.43921960980490304E+00  2.14838477254100901E+00  0.00000000000000000E+00
  3.46423211605802939E+00  2.18161644869238902E+00  0.00000000000000000E+00
  3.48924462231115573E+00  2.21514116874552824E+00  0.00000000000000000E+00
  3.51425712856428252E+00  2.24895997297019079E+00  0.00000000000000000E+00
  3.53926963481740930E+00  2.28307390592125792E+00  0.00000000000000000E+00
  3.56428214107053565E+00  2.31748401637396828E+00  0.00000000000000000E+00
  3.58929464732366199E+00  2.35219135725874917E+00  0.00000000000000000E+00
  3.61430715357678878E+00  2.38719698559582261E+00  0.00000000000000000E+00
  3.63931965982991557E+00  2.42250196242937532E+00  0.00000000000000000E+00
  3.66433216608304191E+00  2.45810735276154002E+00  0.00000000000000000E+00
  3.68934467233616825E+00  2.49401422548596940E+00  0.00000000000000000E+00
  3.71435717858929504E+00  2.53022365332114330E+00  0.00000000000000000E+00
  3.73936968484242183E+00  2.56673671274335780E+00  0.00000000000000000E+00
  3.76438219109554817E+00  2.60355448391942756E+00  0.00000000000000000E+00
  3.78939469734867451E+00  2.64067805063905237E+00  0.00000000000000000E+00
  3.81440720360180130E+00  2.67810850024692115E+00  0.00000000000000000E+00
  3.83941970985492809E+00  2.71584692357449775E+00  0.00000000000000000E+00
  3.86443221610805443E+00  2.75389441487153785E+00  0.00000000000000000E+00
  3.88944472236118077E+00  2.79225207173727963E+00  0.00000000000000000E+00
  3.91445722861430756E+00  2.83092099505139494E+00  0.00000000000000000E+00
  3.93946973486743435E+00  2.86990228890461463E+00  0.00000000000000000E+00
  3.96448224112056069E+00  2.90919706052910465E+00  0.00000000000000000E+00
  3.98949474737368703E+00  2.94880642022854245E+00  0.00000000000000000E+00
  4.01450725362681382E+00  2.98873148130795174E+00  0.00000000000000000E+00
  4.03951975987994061E+00  3.02897336000321449E+00  0.00000000000000000E+00
  4.06453226613306740E+00  3.06953317541035142E+00  0.00000000000000000E+00
  4.08954477238619329E+00  3.11041204941455351E+00  0.00000000000000000E+00
  4.11455727863932008E+00  3.15161110661890786E+00  0.00000000000000000E+00
