#       x [dimensionless]               E_01 [MHz]               E_10 [MHz]               E_11 [MHz]               E_20 [MHz]               E_02 [MHz]              E_cav [MHz]                 w1 [MHz]                 w2 [MHz]                 wc [MHz]
  -1.5151515151515138E-01   5.9300365051762310E+03   5.9866179136822147E+03   1.1916325544993175E+04   1.1689427920440721E+04   1.1581176970474800E+04   6.2378910356871565E+03   6.0000000000000000E+03   5.9545454545454550E+03   6.2000000000000000E+03
  -9.0909090909090828E-02   5.9437548715830499E+03   5.9900552821085348E+03   1.1933253231132581E+04   1.1689493088213028E+04   1.1616894569043196E+04   6.2389171190356865E+03   6.0000000000000000E+03   5.9727272727272730E+03   6.2000000000000000E+03
  -3.0303030303030276E-02   5.9549522217139111E+03   5.9958810958892354E+03   1.1950025904202434E+04   1.1689562079128802E+04   1.1652549120017973E+04   6.2400757733060891E+03   6.0000000000000000E+03   5.9909090909090910E+03   6.2000000000000000E+03
   3.0303030303030276E-02   6.0049533562527586E+03   5.9627453421904956E+03   1.1966610619661929E+04   1.1690231007114706E+04   1.1687538682070455E+04   6.2413922106478130E+03   6.0000000000000000E+03   6.0090909090909090E+03   6.2000000000000000E+03
   9.0909090909090828E-02   6.0169101704938184E+03   5.9674648212403135E+03   1.1982967568087006E+04   1.1689570799870247E+04   1.1723784441438716E+04   6.2428977355387469E+03   6.0000000000000000E+03   6.0272727272727270E+03   6.2000000000000000E+03
   1.5151515151515138E-01   6.0305882266998688E+03   5.9702349293920597E+03   1.1999048463365529E+04   1.1689625885667847E+04   1.1759231497205830E+04   6.2446313893627594E+03   6.0000000000000000E+03   6.0454545454545450E+03   6.2000000000000000E+03
   2.1212121212121238E-01   6.0450547662154568E+03   5.9719396111427122E+03   1.2014795000067119E+04   1.1689663780558440E+04   1.1794598383879529E+04   6.2466419862783296E+03   6.0000000000000000E+03   6.0636363636363640E+03   6.2000000000000000E+03
   2.7272727272727293E-01   6.0597676208945923E+03   5.9730600301896193E+03   1.2030137841998418E+04   1.1689695249304626E+04   1.1829855424909700E+04   6.2489905307341396E+03   6.0000000000000000E+03   6.0818181818181820E+03   6.2000000000000000E+03
   3.3333333333333348E-01   6.0744057632562035E+03   5.9738413653996031E+03   1.2044997144776084E+04   1.1689722724419044E+04   1.1864973759371278E+04   6.2517528713443462E+03   6.0000000000000000E+03   6.1000000000000000E+03   6.2000000000000000E+03
   3.9393939393939403E-01   6.0887465349831909E+03   5.9744131154981078E+03   1.2059286609523064E+04   1.1689747226765241E+04   1.1899913789594546E+04   6.2550221677006630E+03   6.0000000000000000E+03   6.1181818181818180E+03   6.2000000000000000E+03
   4.5454545454545459E-01   6.1026055055241886E+03   5.9748478722056752E+03   1.2072924895163305E+04   1.1689769338210273E+04   1.1934615184236849E+04   6.2589102586339141E+03   6.0000000000000000E+03   6.1363636363636360E+03   6.2000000000000000E+03
   5.1515151515151514E-01   6.1158103422202257E+03   5.9751887865275057E+03   1.2085861950282524E+04   1.1689789450385892E+04   1.1968977382087607E+04   6.2635463257978336E+03   6.0000000000000000E+03   6.1545454545454550E+03   6.2000000000000000E+03
   5.7575757575757569E-01   6.1281937951449518E+03   5.9754628716743773E+03   1.2098137541645847E+04   1.1689807852657877E+04   1.2002813657546512E+04   6.2690706059079430E+03   6.0000000000000000E+03   6.1727272727272730E+03   6.2000000000000000E+03
   6.3636363636363669E-01   6.1396002058954982E+03   5.9756878034462425E+03   1.2244038095353018E+04   1.1689824770887644E+04   1.2035727168902886E+04   6.2756210815674858E+03   6.0000000000000000E+03   6.1909090909090910E+03   6.2000000000000000E+03
   6.9696969696969724E-01   6.1499020928448881E+03   5.9758755908109670E+03   1.2253785292560628E+04   1.1689840387517863E+04   1.2066740417813799E+04   6.2833132254352095E+03   6.0000000000000000E+03   6.2090909090909090E+03   6.2000000000000000E+03
   7.5757575757575779E-01   6.2922172982194388E+03   5.9760346581646445E+03   1.2264740827943817E+04   1.1689854853329176E+04   1.2093370197534916E+04   6.1590207708887829E+03   6.0000000000000000E+03   6.2272727272727270E+03   6.2000000000000000E+03
   8.1818181818181834E-01   6.3023419207007755E+03   5.9761710797952765E+03   1.2276868234761583E+04   1.1689868294976543E+04   1.2159499702413981E+04   6.1669415449586668E+03   6.0000000000000000E+03   6.2454545454545460E+03   6.2000000000000000E+03
