#       x [dimensionless]               E_01 [MHz]               E_10 [MHz]               E_11 [MHz]               E_20 [MHz]               E_02 [MHz]              E_cav [MHz]                 w1 [MHz]                 w2 [MHz]                 wc [MHz]
   3.3333333333333339E+00   5.8840409629600981E+03   5.9840677316277943E+03   1.1868672943547703E+04   1.1690552138573999E+04   1.1474607424696151E+04   6.2652246387455962E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.2333333333333330E+03
   3.5353535353535346E+00   5.8847006940212186E+03   5.9847161040898936E+03   1.1870049333227835E+04   1.1691082560770019E+04   1.1474940889648027E+04   6.2780579493636360E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.2474747474747473E+03
   3.7373737373737370E+00   5.8853109157689323E+03   5.9853175230028937E+03   1.1871309752192596E+04   1.1691584482300525E+04   1.1475260171381044E+04   6.2909877228445112E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.2616161616161617E+03
   3.9393939393939394E+00   5.8858767172425833E+03   5.9858765099456805E+03   1.1872468071032856E+04   1.1692060195408470E+04   1.1475566164194630E+04   6.3040043485693113E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.2757575757575760E+03
   4.1414141414141419E+00   5.8864025494034504E+03   5.9863970804488781E+03   1.1873536090990572E+04   1.1692511744496347E+04   1.1475859687584685E+04   6.3170993600468137E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.2898989898989903E+03
   4.3434343434343425E+00   5.8868923163909567E+03   5.9868828028604476E+03   1.1874523901005763E+04   1.1692940960077489E+04   1.1476141494070594E+04   6.3302652847891295E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.3040404040404037E+03
   4.5454545454545450E+00   5.8873494526163850E+03   5.9873368513839696E+03   1.1875440167298118E+04   1.1693349487075744E+04   1.1476412276034915E+04   6.3434955141814635E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.3181818181818180E+03
   4.7474747474747474E+00   5.8877769879621774E+03   5.9877620533267109E+03   1.1876292368751645E+04   1.1693738808577749E+04   1.1476672671721666E+04   6.3567841910344869E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.3323232323232323E+03
   4.9494949494949498E+00   5.8881776030086330E+03   5.9881609308633524E+03   1.1877086988836860E+04   1.1694110265896123E+04   1.1476923270514662E+04   6.3701261125926612E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.3464646464646466E+03
   5.1515151515151505E+00   5.8885536759048337E+03   5.9885357377577875E+03   1.1877829672669710E+04   1.1694465075619168E+04   1.1477164617597444E+04   6.3835166469434389E+03   6.0000000000000000E+03   5.9000000000000000E+03   6.3606060606060601E+03
