#    row  column                  Re(val)                  Im(val)
      57      57  -1.0367999999999970E+03   0.0000000000000000E+00
      57      86   1.4000000000000003E+02   0.0000000000000000E+00
      58      29   1.4000000000000000E+02   0.0000000000000000E+00
      58      53   2.8000000000000000E+02   0.0000000000000000E+00
      58      58  -7.1919999999999698E+02   0.0000000000000000E+00
      58      87   1.7146428199482247E+02   0.0000000000000000E+00
      59      30   1.5652475842498529E+02   0.0000000000000000E+00
      59      54   3.1304951684997059E+02   0.0000000000000000E+00
      59      59  -4.0159999999999650E+02   0.0000000000000000E+00
      59      88   1.9798989873223331E+02   0.0000000000000000E+00
      60      60  -8.3999999999995907E+01   0.0000000000000000E+00
      60      89   2.2135943621178657E+02   0.0000000000000000E+00
      61      32   9.8994949366116657E+01   0.0000000000000000E+00
      61      61  -5.4799999999999272E+01   0.0000000000000000E+00
      62      33   1.4000000000000003E+02   0.0000000000000000E+00
      62      62   2.6280000000000109E+02   0.0000000000000000E+00
      62      67   7.0000000000000000E+01   0.0000000000000000E+00
      62      91   1.2124355652982140E+02   0.0000000000000000E+00
      63      34   1.7146428199482247E+02   0.0000000000000000E+00
      63      63   5.8040000000000157E+02   0.0000000000000000E+00
      63      68   9.8994949366116657E+01   0.0000000000000000E+00
      63      92   1.7146428199482247E+02   0.0000000000000000E+00
      64      35   1.9798989873223331E+02   0.0000000000000000E+00
      64      64   8.9800000000000171E+02   0.0000000000000000E+00
      64      69   1.2124355652982140E+02   0.0000000000000000E+00
      64      93   2.0999999999999997E+02   0.0000000000000000E+00
      65      36   2.2135943621178657E+02   0.0000000000000000E+00
      65      65   1.2156000000000022E+03   0.0000000000000000E+00
      65      70   1.4000000000000000E+02   0.0000000000000000E+00
      65      94   2.4248711305964281E+02   0.0000000000000000E+00
      66      66   1.5332000000000028E+03   0.0000000000000000E+00
      66      71   1.5652475842498529E+02   0.0000000000000000E+00
      66      95   2.7110883423451918E+02   0.0000000000000000E+00
      67      38   9.8994949366116657E+01   0.0000000000000000E+00
      67      62   7.0000000000000000E+01   0.0000000000000000E+00
      67      67  -3.7199999999998909E+01   0.0000000000000000E+00
      68      39   1.4000000000000003E+02   0.0000000000000000E+00
      68      63   9.8994949366116657E+01   0.0000000000000000E+00
      68      68   2.8040000000000146E+02   0.0000000000000000E+00
      68      73   9.8994949366116657E+01   0.0000000000000000E+00
      68      97   1.2124355652982140E+02   0.0000000000000000E+00
      69      40   1.7146428199482247E+02   0.0000000000000000E+00
      69      64   1.2124355652982140E+02   0.0000000000000000E+00
      69      69   5.9800000000000193E+02   0.0000000000000000E+00
      69      74   1.4000000000000003E+02   0.0000000000000000E+00
      69      98   1.7146428199482247E+02   0.0000000000000000E+00
      70      41   1.9798989873223331E+02   0.0000000000000000E+00
      70      65   1.4000000000000000E+02   0.0000000000000000E+00
      70      70   9.1560000000000207E+02   0.0000000000000000E+00
      70      75   1.7146428199482247E+02   0.0000000000000000E+00
      70      99   2.0999999999999997E+02   0.0000000000000000E+00
      71      42   2.2135943621178657E+02   0.0000000000000000E+00
      71      66   1.5652475842498529E+02   0.0000000000000000E+00
      71      71   1.2332000000000025E+03   0.0000000000000000E+00
      71      76   1.9798989873223331E+02   0.0000000000000000E+00
      71     100   2.4248711305964281E+02   0.0000000000000000E+00
      72      72   1.5508000000000031E+03   0.0000000000000000E+00
      72      77   2.2135943621178657E+02   0.0000000000000000E+00
      72     101   2.7110883423451918E+02   0.0000000000000000E+00
      73      44   9.8994949366116657E+01   0.0000000000000000E+00
      73      68   9.8994949366116657E+01   0.0000000000000000E+00
      73      73  -3.2959999999999860E+02   0.0000000000000000E+00
      74      45   1.4000000000000003E+02   0.0000000000000000E+00
      74      69   1.4000000000000003E+02   0.0000000000000000E+00
      74      74  -1.1999999999998238E+01   0.0000000000000000E+00
      74      79   1.2124355652982140E+02   0.0000000000000000E+00
      74     103   1.2124355652982140E+02   0.0000000000000000E+00
      75      46   1.7146428199482247E+02   0.0000000000000000E+00
      75      70   1.7146428199482247E+02   0.0000000000000000E+00
      75      75   3.0560000000000224E+02   0.0000000000000000E+00
      75      80   1.7146428199482247E+02   0.0000000000000000E+00
      75     104   1.7146428199482247E+02   0.0000000000000000E+00
      76      47   1.9798989873223331E+02   0.0000000000000000E+00
      76      71   1.9798989873223331E+02   0.0000000000000000E+00
      76      76   6.2320000000000232E+02   0.0000000000000000E+00
      76      81   2.0999999999999997E+02   0.0000000000000000E+00
      76     105   2.0999999999999997E+02   0.0000000000000000E+00
      77      48   2.2135943621178657E+02   0.0000000000000000E+00
      77      72   2.2135943621178657E+02   0.0000000000000000E+00
      77      77   9.4080000000000291E+02   0.0000000000000000E+00
      77      82   2.4248711305964281E+02   0.0000000000000000E+00
      77     106   2.4248711305964281E+02   0.0000000000000000E+00
      78      78   1.2584000000000035E+03   0.0000000000000000E+00
      78      83   2.7110883423451918E+02   0.0000000000000000E+00
      78     107   2.7110883423451918E+02   0.0000000000000000E+00
      79      50   9.8994949366116657E+01   0.0000000000000000E+00
      79      74   1.2124355652982140E+02   0.0000000000000000E+00
      79      79  -9.3199999999999829E+02   0.0000000000000000E+00
      80      51   1.4000000000000003E+02   0.0000000000000000E+00
      80      75   1.7146428199482247E+02   0.0000000000000000E+00
      80      80  -6.1439999999999793E+02   0.0000000000000000E+00
      80      85   1.4000000000000000E+02   0.0000000000000000E+00
      80     109   1.2124355652982140E+02   0.0000000000000000E+00
      81      52   1.7146428199482247E+02   0.0000000000000000E+00
      81      76   2.0999999999999997E+02   0.0000000000000000E+00
      81      81  -2.9679999999999745E+02   0.0000000000000000E+00
      81      86   1.9798989873223331E+02   0.0000000000000000E+00
      81     110   1.7146428199482247E+02   0.0000000000000000E+00
      82      53   1.9798989873223331E+02   0.0000000000000000E+00
      82      77   2.4248711305964281E+02   0.0000000000000000E+00
      82      82   2.0800000000002683E+01   0.0000000000000000E+00
      82      87   2.4248711305964281E+02   0.0000000000000000E+00
      82     111   2.0999999999999997E+02   0.0000000000000000E+00
      83      54   2.2135943621178657E+02   0.0000000000000000E+00
      83      78   2.7110883423451918E+02   0.0000000000000000E+00
      83      83   3.3840000000000316E+02   0.0000000000000000E+00
      83      88   2.8000000000000000E+02   0.0000000000000000E+00
      83     112   2.4248711305964281E+02   0.0000000000000000E+00
      84      84   6.5600000000000375E+02   0.0000000000000000E+00
      84      89   3.1304951684997059E+02   0.0000000000000000E+00
      84     113   2.7110883423451918E+02   0.0000000000000000E+00
      85      56   9.8994949366116657E+01   0.0000000000000000E+00
      85      80   1.4000000000000000E+02   0.0000000000000000E+00
      85      85  -1.8443999999999976E+03   0.0000000000000000E+00
      86      57   1.4000000000000003E+02   0.0000000000000000E+00
      86      81   1.9798989873223331E+02   0.0000000000000000E+00
      86      86  -1.5267999999999972E+03   0.0000000000000000E+00
      86     115   1.2124355652982140E+02   0.0000000000000000E+00
      87      58   1.7146428199482247E+02   0.0000000000000000E+00
      87      82   2.4248711305964281E+02   0.0000000000000000E+00
      87      87  -1.2091999999999966E+03   0.0000000000000000E+00
      87     116   1.7146428199482247E+02   0.0000000000000000E+00
      88      59   1.9798989873223331E+02   0.0000000000000000E+00
      88      83   2.8000000000000000E+02   0.0000000000000000E+00
      88      88  -8.9159999999999661E+02   0.0000000000000000E+00
      88     117   2.0999999999999997E+02   0.0000000000000000E+00
      89      60   2.2135943621178657E+02   0.0000000000000000E+00
      89      84   3.1304951684997059E+02   0.0000000000000000E+00
      89      89  -5.7399999999999613E+02   0.0000000000000000E+00
      89     118   2.4248711305964281E+02   0.0000000000000000E+00
      90      90  -2.5639999999999554E+02   0.0000000000000000E+00
      90     119   2.7110883423451918E+02   0.0000000000000000E+00
      91      62   1.2124355652982140E+02   0.0000000000000000E+00
      91      91  -5.1719999999999914E+02   0.0000000000000000E+00
      92      63   1.7146428199482247E+02   0.0000000000000000E+00
      92      92  -1.9959999999999877E+02   0.0000000000000000E+00
      92      97   7.0000000000000000E+01   0.0000000000000000E+00
      92     121   1.4000000000000000E+02   0.0000000000000000E+00
      93      64   2.0999999999999997E+02   0.0000000000000000E+00
      93      93   1.1800000000000171E+02   0.0000000000000000E+00
      93      98   9.8994949366116657E+01   0.0000000000000000E+00
      93     122   1.9798989873223331E+02   0.0000000000000000E+00
      94      65   2.4248711305964281E+02   0.0000000000000000E+00
      94      94   4.3560000000000184E+02   0.0000000000000000E+00
      94      99   1.2124355652982140E+02   0.0000000000000000E+00
      94     123   2.4248711305964281E+02   0.0000000000000000E+00
      95      66   2.7110883423451918E+02   0.0000000000000000E+00
      95      95   7.5320000000000232E+02   0.0000000000000000E+00
      95     100   1.4000000000000000E+02   0.0000000000000000E+00
      95     124   2.8000000000000000E+02   0.0000000000000000E+00
      96      96   1.0708000000000029E+03   0.0000000000000000E+00
      96     101   1.5652475842498529E+02   0.0000000000000000E+00
      96     125   3.1304951684997059E+02   0.0000000000000000E+00
      97      68   1.2124355652982140E+02   0.0000000000000000E+00
      97      92   7.0000000000000000E+01   0.0000000000000000E+00
      97      97  -4.9959999999999877E+02   0.0000000000000000E+00
      98      69   1.7146428199482247E+02   0.0000000000000000E+00
      98      93   9.8994949366116657E+01   0.0000000000000000E+00
      98      98  -1.8199999999999841E+02   0.0000000000000000E+00
      98     103   9.8994949366116657E+01   0.0000000000000000E+00
      98     127   1.4000000000000000E+02   0.0000000000000000E+00
      99      70   2.0999999999999997E+02   0.0000000000000000E+00
      99      94   1.2124355652982140E+02   0.0000000000000000E+00
      99      99   1.3560000000000207E+02   0.0000000000000000E+00
      99     104   1.4000000000000003E+02   0.0000000000000000E+00
      99     128   1.9798989873223331E+02   0.0000000000000000E+00
     100      71   2.4248711305964281E+02   0.0000000000000000E+00
     100      95   1.4000000000000000E+02   0.0000000000000000E+00
     100     100   4.5320000000000221E+02   0.0000000000000000E+00
     100     105   1.7146428199482247E+02   0.0000000000000000E+00
     100     129   2.4248711305964281E+02   0.0000000000000000E+00
     101      72   2.7110883423451918E+02   0.0000000000000000E+00
     101      96   1.5652475842498529E+02   0.0000000000000000E+00
     101     101   7.7080000000000268E+02   0.0000000000000000E+00
     101     106   1.9798989873223331E+02   0.0000000000000000E+00
     101     130   2.8000000000000000E+02   0.0000000000000000E+00
     102     102   1.0884000000000033E+03   0.0000000000000000E+00
     102     107   2.2135943621178657E+02   0.0000000000000000E+00
     102     131   3.1304951684997059E+02   0.0000000000000000E+00
     103      74   1.2124355652982140E+02   0.0000000000000000E+00
     103      98   9.8994949366116657E+01   0.0000000000000000E+00
     103     103  -7.9199999999999841E+02   0.0000000000000000E+00
     104      75   1.7146428199482247E+02   0.0000000000000000E+00
     104      99   1.4000000000000003E+02   0.0000000000000000E+00
     104     104  -4.7439999999999804E+02   0.0000000000000000E+00
     104     109   1.2124355652982140E+02   0.0000000000000000E+00
     104     133   1.4000000000000000E+02   0.0000000000000000E+00
     105      76   2.0999999999999997E+02   0.0000000000000000E+00
     105     100   1.7146428199482247E+02   0.0000000000000000E+00
     105     105  -1.5679999999999757E+02   0.0000000000000000E+00
     105     110   1.7146428199482247E+02   0.0000000000000000E+00
     105     134   1.9798989873223331E+02   0.0000000000000000E+00
     106      77   2.4248711305964281E+02   0.0000000000000000E+00
     106     101   1.9798989873223331E+02   0.0000000000000000E+00
     106     106   1.6080000000000257E+02   0.0000000000000000E+00
     106     111   2.0999999999999997E+02   0.0000000000000000E+00
     106     135   2.4248711305964281E+02   0.0000000000000000E+00
     107      78   2.7110883423451918E+02   0.0000000000000000E+00
     107     102   2.2135943621178657E+02   0.0000000000000000E+00
     107     107   4.7840000000000305E+02   0.0000000000000000E+00
     107     112   2.4248711305964281E+02   0.0000000000000000E+00
     107     136   2.8000000000000000E+02   0.0000000000000000E+00
     108     108   7.9600000000000364E+02   0.0000000000000000E+00
     108     113   2.7110883423451918E+02   0.0000000000000000E+00
     108     137   3.1304951684997059E+02   0.0000000000000000E+00
     109      80   1.2124355652982140E+02   0.0000000000000000E+00
     109     104   1.2124355652982140E+02   0.0000000000000000E+00
     109     109  -1.3943999999999983E+03   0.0000000000000000E+00
     110      81   1.7146428199482247E+02   0.0000000000000000E+00
     110     105   1.7146428199482247E+02   0.0000000000000000E+00
     110     110  -1.0767999999999979E+03   0.0000000000000000E+00
     110     115   1.4000000000000000E+02   0.0000000000000000E+00
     110     139   1.4000000000000000E+02   0.0000000000000000E+00
     111      82   2.0999999999999997E+02   0.0000000000000000E+00
     111     106   2.0999999999999997E+02   0.0000000000000000E+00
     111     111  -7.5919999999999743E+02   0.0000000000000000E+00
     111     116   1.9798989873223331E+02   0.0000000000000000E+00
     111     140   1.9798989873223331E+02   0.0000000000000000E+00
     112      83   2.4248711305964281E+02   0.0000000000000000E+00
     112     107   2.4248711305964281E+02   0.0000000000000000E+00
     112     112  -4.4159999999999729E+02   0.0000000000000000E+00
     112     117   2.4248711305964281E+02   0.0000000000000000E+00
     112     141   2.4248711305964281E+02   0.0000000000000000E+00
     113      84   2.7110883423451918E+02   0.0000000000000000E+00
     113     108   2.7110883423451918E+02   0.0000000000000000E+00
     113     113  -1.2399999999999682E+02   0.0000000000000000E+00
     113     118   2.8000000000000000E+02   0.0000000000000000E+00
     113     142   2.8000000000000000E+02   0.0000000000000000E+00
     114     114   1.9360000000000377E+02   0.0000000000000000E+00
     114     119   3.1304951684997059E+02   0.0000000000000000E+00
     114     143   3.1304951684997059E+02   0.0000000000000000E+00
     115      86   1.2124355652982140E+02   0.0000000000000000E+00
     115     110   1.4000000000000000E+02   0.0000000000000000E+00
     115     115  -2.3067999999999975E+03   0.0000000000000000E+00
     116      87   1.7146428199482247E+02   0.0000000000000000E+00
     116     111   1.9798989873223331E+02   0.0000000000000000E+00
     116     116  -1.9891999999999971E+03   0.0000000000000000E+00
     116     145   1.4000000000000000E+02   0.0000000000000000E+00
     117      88   2.0999999999999997E+02   0.0000000000000000E+00
     117     112   2.4248711305964281E+02   0.0000000000000000E+00
     117     117  -1.6715999999999967E+03   0.0000000000000000E+00
     117     146   1.9798989873223331E+02   0.0000000000000000E+00
     118      89   2.4248711305964281E+02   0.0000000000000000E+00
     118     113   2.8000000000000000E+02   0.0000000000000000E+00
     118     118  -1.3539999999999964E+03   0.0000000000000000E+00
     118     147   2.4248711305964281E+02   0.0000000000000000E+00
     119      90   2.7110883423451918E+02   0.0000000000000000E+00
     119     114   3.1304951684997059E+02   0.0000000000000000E+00
     119     119  -1.0363999999999960E+03   0.0000000000000000E+00
     119     148   2.8000000000000000E+02   0.0000000000000000E+00
     120     120  -7.1879999999999541E+02   0.0000000000000000E+00
     120     149   3.1304951684997059E+02   0.0000000000000000E+00
     121      92   1.4000000000000000E+02   0.0000000000000000E+00
     121     121  -1.2695999999999983E+03   0.0000000000000000E+00
     122      93   1.9798989873223331E+02   0.0000000000000000E+00
     122     122  -9.5199999999999795E+02   0.0000000000000000E+00
     122     127   7.0000000000000000E+01   0.0000000000000000E+00
     123      94   2.4248711305964281E+02   0.0000000000000000E+00
     123     123  -6.3439999999999748E+02   0.0000000000000000E+00
     123     128   9.8994949366116657E+01   0.0000000000000000E+00
     124      95   2.8000000000000000E+02   0.0000000000000000E+00
     124     124  -3.1679999999999734E+02   0.0000000000000000E+00
     124     129   1.2124355652982140E+02   0.0000000000000000E+00
     125      96   3.1304951684997059E+02   0.0000000000000000E+00
     125     125   8.0000000000313776E-01   0.0000000000000000E+00
     125     130   1.4000000000000000E+02   0.0000000000000000E+00
     126     126   3.1840000000000373E+02   0.0000000000000000E+00
     126     131   1.5652475842498529E+02   0.0000000000000000E+00
     127      98   1.4000000000000000E+02   0.0000000000000000E+00
     127     122   7.0000000000000000E+01   0.0000000000000000E+00
     127     127  -1.2519999999999980E+03   0.0000000000000000E+00
     128      99   1.9798989873223331E+02   0.0000000000000000E+00
     128     123   9.8994949366116657E+01   0.0000000000000000E+00
     128     128  -9.3439999999999759E+02   0.0000000000000000E+00
     128     133   9.8994949366116657E+01   0.0000000000000000E+00
     129     100   2.4248711305964281E+02   0.0000000000000000E+00
